target_department,candidate_bucket,contract_id,contract_number,contract_name,supplier_id,supplier_display_name,department,renegotiation_prob,contract_age_years,payment_terms,incoterms,contract_value_dkk
Raw Materials & Energy,likely_no_low_score,533313,532787,Brenntag_NN_SA Green Ammonia Amendment_2025,15485,BRENNTAG NORDIC A/S,Raw Materials & Energy,0.1565535404392345,0,F060 Invoice Date + 60 days,CIP Carriage and insurance paid,2500000.0
Raw Materials & Energy,likely_no_low_score,523327,522867,Tereos Starch_NDA_2025_,11074,TEREOS STARCH & SWEETENERS BELGIUM,Raw Materials & Energy,0.1771862685815318,0,,,0.0
Raw Materials & Energy,likely_no_low_score,396035,396674,Saint Gobain_Amendment no. 1 to CDA_2024_Term Extension,9758,SAINT-GOBAIN PERFORMANCE PLASTICS F,Raw Materials & Energy,0.1771862685815318,3,,,0.0
Raw Materials & Energy,likely_no_low_score,418519,419235,NEXTERA ENERGY RESOURCES DEVELOPMENT_CDA mutual 2024_419235,153274,,Raw Materials & Energy,0.1771862685815318,1,,,0.0
Raw Materials & Energy,likely_no_low_score,325233,326325,ProAmpac Inc._CDA_2023_Rfp for aluminium bag,153274,,Raw Materials & Energy,0.1771862685815318,2,,,0.0
Raw Materials & Energy,likely_no_low_score,524268,523779,CDA_Amcor USA & Novo Nordisk,193033,Purchasing - Dummy Supplier,Raw Materials & Energy,0.1771862685815318,0,F060 Invoice Date + 60 days,DAP Del.at Place-excl.unloading,0.0
Raw Materials & Energy,uncertain_near_0_5,685,685,Dystar Foam Control Corp_Stand-alone_20180101_PA_2018-2019,9551,DYSTAR FOAM CONTROL CORP,Raw Materials & Energy,0.4642805071617468,4,F030 Invoice Date + 30 days,DAP Del.at Place-excl.unloading,0.0
Raw Materials & Energy,uncertain_near_0_5,185470,185483,Lyngholm Filtration APS_Sefar GmbH_Stand Alone 2021_BTA,191935,LYNGHOLM FILTRATION APS,Raw Materials & Energy,0.4642805071617468,4,F045 Invoice Date + 45 days,CPT Carriage paid,0.0
Raw Materials & Energy,uncertain_near_0_5,873,873,CUC Engineering AS_Stand-Alone_20190101_PA,13302,CUC ENGINEERING A/SPOSTBOX 207,Raw Materials & Energy,0.4642805071617468,4,F030 Invoice Date + 30 days,EXW Ex works,0.0
Raw Materials & Energy,uncertain_near_0_5,549661,549023,Fujifilm_CDA_2025_Peptide Synthesis Coupling Reagent,11852,FUJIFILM WAKO CHEMICALS EUROPE GMBH,Raw Materials & Energy,0.4642805071617468,0,,,0.0
Raw Materials & Energy,uncertain_near_0_5,99002,99011,LIFE TECHNOLOGIES BPD UK LTD_Stand Alone_2020_PA_Price agreement from 2021,657,LIFE TECHNOLOGIES BPD UK LTD,Raw Materials & Energy,0.4642805071617468,4,F060 Invoice Date + 60 days,DAP Del.at Place-excl.unloading,0.0
Raw Materials & Energy,uncertain_near_0_5,486769,486622,Pendotech_NDA_2024_Single use components,226522,PENDOTECH,Raw Materials & Energy,0.4642805071617468,1,F030 Invoice Date + 30 days,DDP Delivered duty paid,0.0
Raw Materials & Energy,uncertain_near_0_5,468909,469085,INEOS_MASTER_2024_SA_Ethanol,310508,INEOS SOLVENTS SA,Raw Materials & Energy,0.4642805071617468,1,F060 Invoice Date + 60 days,DAP Del.at Place-excl.unloading,1855050000.0
Raw Materials & Energy,uncertain_near_0_5,185435,185448,Lyngholm Filtration APS_BWF_Stand Alone 2021_BTA,191935,LYNGHOLM FILTRATION APS,Raw Materials & Energy,0.4642805071617468,4,F045 Invoice Date + 45 days,CPT Carriage paid,0.0
Raw Materials & Energy,uncertain_near_0_5,407962,408725,Pfanstiehl Inc_Standalone_CDA_Tris_2024,2350,"PFANSTIEHL INC.,",Raw Materials & Energy,0.4642805071617468,1,F030 Invoice Date + 30 days,CPT Carriage paid,0.0
Raw Materials & Energy,uncertain_near_0_5,393562,394192,BASF SE_Stand-alone_2024_BTA,5947,BASF SE,Raw Materials & Energy,0.4642805071617468,1,,DDP Delivered duty paid,0.0
