target_department,candidate_bucket,contract_id,contract_name,supplier_id,supplier_display_name,department,renegotiation_prob,contract_age_years,years_to_expiry_capped,payment_terms,incoterms,contract_value_dkk
Logistics,likely_no_low_score,456272,DSV_Call-off no. 5_2024_LSPA_Capacity Expansion,11641,DSV SOLUTIONS A/S,Logistics,0.0023607034863483,1,,F060 Invoice Date + 60 days,EXW Ex works,12000000.0
Logistics,likely_no_low_score,469290,DSV_Call-off_SoOP_no.6_Security Appendix 2024,11641,DSV SOLUTIONS A/S,Logistics,0.0023607034863483,1,,F060 Invoice Date + 60 days,EXW Ex works,0.0
Logistics,likely_no_low_score,280205,Leman_2022_Call-off_FFA_Letter of Indemnity_Russia Shipments,8880,LEMAN A/S,Logistics,0.0029269208017508,3,,F030 Invoice Date + 30 days,CPT Carriage paid,0.0
Logistics,likely_no_low_score,293538,LEMAN_Call-Off_2023_Primary_FFA_AA7_Cryosure containers,8880,LEMAN A/S,Logistics,0.0029269208017508,2,,F030 Invoice Date + 30 days,CPT Carriage paid,0.0
Logistics,likely_no_low_score,550966,Geodis DSD_Call-off_no.2 Extension Extra Capacity 2025,280332,GEODIS CL ILE DE FRANCE,Logistics,0.0107710176567152,0,2.0,F060 Invoice Date + 60 days,DDP Delivered duty paid,10520000.0
Logistics,likely_no_low_score,515275,DSV_LSPA_2025_PS PAC 3 Warehouse,11641,DSV SOLUTIONS A/S,Logistics,0.0120493953304274,0,5.0,F060 Invoice Date + 60 days,,183000000.0
Logistics,likely_no_low_score,428977,DSV Solutions_Call-Off_2024_Primary Distribution_LSPA_APP1,11641,DSV SOLUTIONS A/S,Logistics,0.0120493953304274,1,4.0,F060 Invoice Date + 60 days,DDU Delivered duty unpaid,20000000.0
Logistics,likely_no_low_score,256526,DSV Solutions A/S_CDA_2022,11641,DSV SOLUTIONS A/S,Logistics,0.0120493953304274,3,2.0,F060 Invoice Date + 60 days,DDU Delivered duty unpaid,0.0
Logistics,likely_no_low_score,508089,DSV_Call-Off_2025_Amendment03_Additional services,11641,DSV SOLUTIONS A/S,Logistics,0.0120493953304274,0,3.0,F060 Invoice Date + 60 days,,2600000.0
Logistics,likely_no_low_score,340383,DSV_Master_2023_LSPA_warehouse service,11641,DSV SOLUTIONS A/S,Logistics,0.0120493953304274,2,3.0,F060 Invoice Date + 60 days,,170000000.0
Logistics,uncertain_near_0_5,547932,DHL Air Forwarding_CDA_2025_North America Primary Road Distribution,28819,DHL GLOBAL FORWARDING AIR EXPRESS INTERNATIONAL INC,Logistics,0.3618735111769003,0,1.0,F030 Invoice Date + 30 days,,0.0
Logistics,uncertain_near_0_5,256511,Kuehne + Nagel A/S_CDA_2022,50022,KUEHNE + NAGEL A/S,Logistics,0.3618735111769003,3,2.0,F030 Invoice Date + 30 days,,0.0
Logistics,uncertain_near_0_5,467944,Kuehne + Nagel_Call-Off_no. 1_RDC_Capacity & medicinal products_2024,272874,KUEHNE  NAGEL S PTE LTD,Logistics,0.2633052281229463,1,,F060 Invoice Date + 60 days,,178915.0
Logistics,uncertain_near_0_5,580943,DHL_Call Off No. 2_Governing Agreement_2025,9625,DHL EXEL SUPPLY CHAIN (DENMARK) A/S,Logistics,0.2013392747520153,0,1.0,F030 Invoice Date + 30 days,,44600000.0
Logistics,uncertain_near_0_5,547984,MD Logistics_CDA_2025_North America Primary Road Distribution,27777,MDLOGISTICS,Logistics,0.2013392747520153,0,1.0,F030 Invoice Date + 30 days,,0.0
Logistics,uncertain_near_0_5,573766,UPS_CDA_2025_Global Confidentiality Agreement,495128,BV UNITED PARCEL SERVICE BELGIUM,Logistics,0.1836888599371924,0,5.0,F060 Invoice Date + 60 days,,0.0
Logistics,uncertain_near_0_5,505649,DSV Air and Sea Holding_MSA_2025_Clinical Logistics,441168,DSV AIR & SEA HOLDING A/S,Logistics,0.1836888599371924,0,3.0,F060 Invoice Date + 60 days,,268000000.0
Logistics,uncertain_near_0_5,570975,MOVIANTO INTERNATIONAL B.V. _Confidentiality Agreement_2025_Global CDA,495131,MOVIANTO DEUTSCHLAND GMBH,Logistics,0.1836888599371924,0,5.0,F060 Invoice Date + 60 days,,0.0
Logistics,uncertain_near_0_5,194362,Neff AS_Master_2021_NNAS_Primary_LSA_DK,1698,NEFF A/S,Logistics,0.1836888599371924,4,2.0,F045 Invoice Date + 45 days,,0.0
