target_department,candidate_bucket,contract_id,contract_name,supplier_id,supplier_display_name,department,renegotiation_prob,contract_age_years,years_to_expiry_capped,payment_terms,incoterms,contract_value_dkk
Packaging Material,likely_no_low_score,536317,All4Labels_Amendment_2025_Label Tender Outcome and appendix update,9558,ALL4LABELS DENMARK SB A/S,Packaging Material,0.1012152509083737,0,2.0,F045 Invoice Date + 45 days,DAP Del.at Place-excl.unloading,1000000.0
Packaging Material,likely_no_low_score,159775,"XI’AN GLOBAL PRINTING CO., LTD_Call-off_2021_AA2_AAP17",23277,西安环球印务股份有限公司,Packaging Material,0.1116883563042112,4,,,,0.0
Packaging Material,likely_no_low_score,489590,XI'AN GLOBAL PRINTING_CALL-OFF_2025_SA_AA5_Appendices update,23277,西安环球印务股份有限公司,Packaging Material,0.1116883563042112,0,,F060 Invoice Date + 60 days,DDP Delivered duty paid,0.0
Packaging Material,likely_no_low_score,374316,XI'AN GLOBAL PRINTING_CALL-OFF_2023_SA_AA4_Appendices update,23277,西安环球印务股份有限公司,Packaging Material,0.1116883563042112,1,,F060 Invoice Date + 60 days,DDP Delivered duty paid,0.0
Packaging Material,uncertain_near_0_5,544899,Ningbo Sinar Mas_Collaboration Agreement_2025_Tier-2 Collaboration agreement,451895,"NINGBO SINAR MAS PAPER TRADING CO.,",Packaging Material,0.4420262372792088,0,,,,0.0
Packaging Material,uncertain_near_0_5,595073,Faubel_Amendment 7_2025_Extension to 01 Apr,14430,FAUBEL & CO NACHFOLGER GMBH,Packaging Material,0.4420262372792088,0,1.0,F045 Invoice Date + 45 days,EXW Ex works,0.0
Packaging Material,uncertain_near_0_5,474075,Amcor_CDA and Non-Disclosure,3187,AMCOR FLEXIBLES SINGEN GMBH,Packaging Material,0.4420262372792088,1,2.0,,DDU Delivered duty unpaid,0.0
Packaging Material,uncertain_near_0_5,492125,Tianjin Huaming Group_Master_2025_SA_Shipper boxes,402144,天津市华明集团有限公司,Packaging Material,0.4420262372792088,0,,F060 Invoice Date + 60 days,DAP Del.at Place-excl.unloading,2914853.4
Packaging Material,uncertain_near_0_5,598351,All4Labels Grafica DO Brasil_CDA_2025_PPM RFQ,100791,ALL4LABELS GRAFICA DO BRASIL LTDA,Packaging Material,0.4420262372792088,0,2.0,,,0.0
Packaging Material,uncertain_near_0_5,477837,Amcor Flexibles_Amendment No. 2 to SA,3187,AMCOR FLEXIBLES SINGEN GMBH,Packaging Material,0.4420262372792088,1,,F060 Invoice Date + 60 days,DDU Delivered duty unpaid,0.0
Packaging Material,uncertain_near_0_5,517589,Tonnellier Imprimeur SAS_CALL-OFF_2025_SA_AA5_Appendix update,343193,TONNELLIER IMPRIMEUR S.A.S,Packaging Material,0.4420262372792088,0,,,,0.0
Packaging Material,uncertain_near_0_5,358424,Cartondruck Gráfica LTDA_Master_2023_SA,240543,CARTONDRUCK GRAFICA LTDA,Packaging Material,0.4420262372792088,2,,F060 Invoice Date + 60 days,DAP Del.at Place-excl.unloading,0.0
Packaging Material,uncertain_near_0_5,374130,TONNELLIER IMPRIMEUR SAS _CALL-OFF_2023_SA_AA4_Appendices update,7944,TONNELLIER IMPRIMEUR S.A.S,Packaging Material,0.4420262372792088,1,,F045 Invoice Date + 45 days,DDP Delivered duty paid,0.0
Packaging Material,uncertain_near_0_5,593535,Salem One Inc._CDA Mutual_2025_PPM RFQ 2026,503753,SALEM ONE INC,Packaging Material,0.4420262372792088,0,2.0,F060 Invoice Date + 60 days,,0.0
