moodys_bvd_id,company_name,risk_level,sector,year,Join_Year,esg_overall,esg_industry_adjusted,env_score,env_weight,social_score,social_weight,gov_score,gov_weight,industry_min,industry_max
BE0406469194,Lyreco Belgium,Go ahead,Wholesale,2023,2024,5.0,5.0,1.0,15.0,5.0,31.0,6.0,54.0,3.0,7.0
BE0406469194,Lyreco Belgium,Go ahead,Wholesale,2024,2025,5.0,5.0,1.0,15.0,5.0,31.0,6.0,54.0,3.0,7.0
BE0406804736,Solvay Chemicals International,Go ahead,Business Services,2023,2024,4.0,5.0,1.0,13.0,4.0,54.0,6.0,33.0,2.0,7.0
BE0406804736,Solvay Chemicals International,Go ahead,Business Services,2024,2025,4.0,5.0,1.0,13.0,4.0,54.0,6.0,33.0,2.0,7.0
BE0406967854,Autajon Labels Belgium,Go ahead,"Wood, Furniture & Paper Manufacturing",2023,2024,3.0,0.0,1.0,55.0,0.0,12.0,6.0,33.0,3.0,7.0
BE0406967854,Autajon Labels Belgium,Go ahead,"Wood, Furniture & Paper Manufacturing",2024,2025,3.0,0.0,1.0,55.0,0.0,12.0,6.0,33.0,3.0,7.0
BE0407606965,Pall Life Sciences Belgium,Take caution,"Chemicals, Petroleum, Rubber & Plastic",2023,2024,3.0,0.0,2.0,55.0,0.0,12.0,6.0,33.0,4.0,7.0
BE0407606965,Pall Life Sciences Belgium,Take caution,"Chemicals, Petroleum, Rubber & Plastic",2024,2025,3.0,0.0,2.0,55.0,0.0,12.0,5.0,33.0,4.0,7.0
BE0408270327,Terumo Europe,Take caution,"Industrial, Electric & Electronic Machinery",2024,2025,5.0,4.0,10.0,5.0,4.0,56.0,5.0,39.0,3.0,7.0
BE0408270327,Terumo Europe,Take caution,"Industrial, Electric & Electronic Machinery",2025,2026,5.0,4.0,10.0,5.0,4.0,56.0,5.0,39.0,3.0,7.0
BE0415505042,Vynova Belgium,Do not source,"Chemicals, Petroleum, Rubber & Plastic",2023,2024,3.0,2.0,2.0,56.0,1.0,11.0,5.0,33.0,2.0,6.0
BE0415505042,Vynova Belgium,Do not source,"Chemicals, Petroleum, Rubber & Plastic",2024,2025,3.0,2.0,2.0,56.0,1.0,11.0,5.0,33.0,2.0,6.0
BE0423357983,Quality Assistance,Go ahead,Business Services,2023,2024,5.0,3.0,9.0,5.0,4.0,51.0,6.0,44.0,3.0,7.0
BE0423357983,Quality Assistance,Go ahead,Business Services,2024,2025,5.0,3.0,9.0,5.0,4.0,51.0,6.0,44.0,3.0,7.0
BE0438110594,MSF Supply,Go ahead,Wholesale,2023,2024,5.0,4.0,9.0,5.0,2.0,28.0,5.0,67.0,3.0,7.0
BE0438110594,MSF Supply,Go ahead,Wholesale,2024,2025,5.0,4.0,9.0,5.0,2.0,28.0,5.0,67.0,3.0,7.0
BE0451405534,PPD Global Central Labs,Go ahead,Business Services,2023,2024,5.0,4.0,9.0,5.0,4.0,51.0,6.0,44.0,3.0,7.0
BE0451405534,PPD Global Central Labs,Go ahead,Business Services,2024,2025,5.0,4.0,9.0,5.0,4.0,51.0,6.0,44.0,3.0,7.0
BE0451405534,PPD Global Central Labs,Go ahead,Business Services,2022,2023,5.0,4.0,5.0,5.0,5.0,51.0,6.0,44.0,3.0,7.0
BE0463156786,Lonza Verviers,Go ahead,"Chemicals, Petroleum, Rubber & Plastic",2023,2024,3.0,2.0,2.0,56.0,0.0,11.0,6.0,33.0,2.0,6.0
BE0463156786,Lonza Verviers,Go ahead,"Chemicals, Petroleum, Rubber & Plastic",2024,2025,3.0,2.0,2.0,56.0,0.0,11.0,6.0,33.0,2.0,6.0
BE0465935738,Novo Nordisk Production Belgium SA,Do not source,"Chemicals, Petroleum, Rubber & Plastic",2023,2024,3.0,2.0,3.0,9.0,3.0,58.0,6.0,33.0,2.0,6.0
BE0465935738,Novo Nordisk Production Belgium SA,Do not source,"Chemicals, Petroleum, Rubber & Plastic",2024,2025,3.0,2.0,0.0,9.0,2.0,58.0,6.0,33.0,2.0,6.0
BE0473895280,Solvay Brussels School Lifelong Learning,Do not source,"Public Administration, Education, Health Social Services",2023,2024,5.0,5.0,5.0,5.0,5.0,62.0,5.0,33.0,3.0,6.0
BE0473895280,Solvay Brussels School Lifelong Learning,Do not source,"Public Administration, Education, Health Social Services",2024,2025,5.0,5.0,7.0,5.0,4.0,62.0,5.0,33.0,3.0,6.0
BE0473895280,Solvay Brussels School Lifelong Learning,Do not source,"Public Administration, Education, Health Social Services",2025,2026,5.0,5.0,7.0,5.0,4.0,62.0,5.0,33.0,3.0,6.0
BE0475099565,Esko - Graphics,Go ahead,"Industrial, Electric & Electronic Machinery",2023,2024,3.0,1.0,2.0,33.0,0.0,20.0,6.0,47.0,3.0,7.0
BE0475099565,Esko - Graphics,Go ahead,"Industrial, Electric & Electronic Machinery",2024,2025,3.0,1.0,2.0,33.0,0.0,20.0,6.0,47.0,3.0,7.0
BE0480190679,Asahi Kasei Bioprocess Europe,Take caution,Wholesale,2023,2024,5.0,5.0,5.0,15.0,5.0,31.0,6.0,54.0,3.0,7.0
BE0480190679,Asahi Kasei Bioprocess Europe,Take caution,Wholesale,2024,2025,5.0,5.0,1.0,15.0,5.0,31.0,6.0,54.0,3.0,7.0
BE0480190679,Asahi Kasei Bioprocess Europe,Take caution,Wholesale,2025,2026,5.0,5.0,1.0,15.0,5.0,31.0,6.0,54.0,3.0,7.0
BE0849892422,Cluepoints,Go ahead,Retail,2023,2024,5.0,5.0,4.0,10.0,5.0,57.0,6.0,33.0,3.0,7.0
BE0849892422,Cluepoints,Go ahead,Retail,2024,2025,5.0,5.0,4.0,10.0,5.0,57.0,5.0,33.0,3.0,7.0
BG831902088,Sopharma AD,Go ahead,"Chemicals, Petroleum, Rubber & Plastic",2023,2024,2.0,1.0,2.0,9.0,2.0,58.0,3.0,33.0,2.0,6.0
BG831902088,Sopharma AD,Go ahead,"Chemicals, Petroleum, Rubber & Plastic",2024,2025,3.0,1.0,1.0,9.0,2.0,58.0,3.0,33.0,2.0,6.0
BR00356213000150,Leograf Grafica E Editora Ltda,Do not source,Printing & Publishing,2023,2024,3.0,0.0,0.0,15.0,0.0,31.0,5.0,54.0,3.0,8.0
BR00356213000150,Leograf Grafica E Editora Ltda,Do not source,Printing & Publishing,2024,2025,3.0,0.0,0.0,15.0,0.0,31.0,5.0,54.0,3.0,8.0
BR00480633000144,Renase Agencia de Viagens E Turismo Ltda,Take caution,Business Services,2023,2024,4.0,2.0,8.0,5.0,1.0,28.0,5.0,67.0,3.0,8.0
BR00480633000144,Renase Agencia de Viagens E Turismo Ltda,Take caution,Business Services,2024,2025,4.0,2.0,8.0,5.0,1.0,28.0,5.0,67.0,3.0,8.0
BR01438021000156,Torres & Marshall Engenharia E Projetos Ltda.,Take caution,Construction,2023,2024,5.0,6.0,5.0,17.0,5.0,25.0,5.0,58.0,2.0,7.0
BR01438021000156,Torres & Marshall Engenharia E Projetos Ltda.,Take caution,Construction,2024,2025,5.0,6.0,4.0,17.0,5.0,25.0,5.0,58.0,2.0,7.0
BR01865890000167,Jose Wilson Pereira DOS Santos,Do not source,Metals & Metal Products,2023,2024,4.0,0.0,3.0,40.0,3.0,25.0,5.0,35.0,4.0,7.0
BR01865890000167,Jose Wilson Pereira DOS Santos,Do not source,Metals & Metal Products,2024,2025,4.0,0.0,3.0,40.0,3.0,25.0,5.0,35.0,4.0,7.0
BR02143735000108,Servicos Norte Funcional Ltda,Take caution,Business Services,2023,2024,5.0,3.0,7.0,5.0,3.0,40.0,5.0,55.0,3.0,8.0
BR02143735000108,Servicos Norte Funcional Ltda,Take caution,Business Services,2024,2025,5.0,3.0,7.0,5.0,3.0,40.0,5.0,55.0,3.0,8.0
BR02194588000197,Bain Brasil Ltda,Take caution,Business Services,2023,2024,5.0,4.0,8.0,5.0,4.0,51.0,5.0,44.0,3.0,7.0
BR02194588000197,Bain Brasil Ltda,Take caution,Business Services,2024,2025,5.0,4.0,8.0,5.0,4.0,51.0,5.0,44.0,3.0,7.0
BR02470279000100,ACE Revestimentos Ltda,Take caution,Wholesale,2023,2024,4.0,2.0,4.0,23.0,1.0,23.0,5.0,54.0,3.0,7.0
BR02470279000100,ACE Revestimentos Ltda,Take caution,Wholesale,2024,2025,4.0,2.0,4.0,23.0,1.0,23.0,5.0,54.0,3.0,7.0
BR02942792000149,LC Comercio E Servicos Usinagem E Eletromecanica Ltda,Take caution,Construction,2023,2024,5.0,6.0,5.0,30.0,6.0,35.0,5.0,35.0,2.0,8.0
BR02942792000149,LC Comercio E Servicos Usinagem E Eletromecanica Ltda,Take caution,Construction,2024,2025,5.0,6.0,5.0,30.0,6.0,35.0,5.0,35.0,2.0,8.0
BR03688545000120,Digital Work Computer Service Comercial Ltda,Take caution,Retail,2023,2024,3.0,0.0,4.0,16.0,0.0,47.0,5.0,37.0,3.0,6.0
BR03688545000120,Digital Work Computer Service Comercial Ltda,Take caution,Retail,2024,2025,3.0,0.0,4.0,16.0,0.0,47.0,5.0,37.0,3.0,6.0
BR03840263000105,Romsoft Ltda,Take caution,Media & Broadcasting,2023,2024,4.0,4.0,8.0,5.0,3.0,47.0,5.0,48.0,3.0,7.0
BR03840263000105,Romsoft Ltda,Take caution,Media & Broadcasting,2024,2025,4.0,4.0,8.0,5.0,3.0,47.0,5.0,48.0,3.0,7.0
BR04270642000161,Ipsos Brasil Pesquisas de Mercado Ltda,Take caution,Business Services,2023,2024,5.0,4.0,8.0,5.0,5.0,51.0,5.0,44.0,3.0,7.0
BR04270642000161,Ipsos Brasil Pesquisas de Mercado Ltda,Take caution,Business Services,2024,2025,5.0,5.0,8.0,5.0,5.0,51.0,5.0,44.0,3.0,7.0
BR04813607000141,Runtalent Tecnologia Ltda,Do not source,Computer Software,2023,2024,4.0,4.0,5.0,16.0,3.0,47.0,5.0,37.0,2.0,7.0
BR04813607000141,Runtalent Tecnologia Ltda,Do not source,Computer Software,2024,2025,4.0,4.0,5.0,16.0,3.0,47.0,5.0,37.0,2.0,7.0
BR05205508000140,Ajust Service Limitada,Take caution,Retail,2023,2024,5.0,5.0,8.0,19.0,3.0,48.0,5.0,33.0,3.0,7.0
BR05205508000140,Ajust Service Limitada,Take caution,Retail,2024,2025,5.0,5.0,8.0,19.0,3.0,48.0,5.0,33.0,3.0,7.0
BR05671583000104,Premontes Premoldados Ltda,Take caution,Business Services,2023,2024,6.0,7.0,4.0,17.0,9.0,25.0,5.0,58.0,2.0,7.0
BR05671583000104,Premontes Premoldados Ltda,Take caution,Business Services,2024,2025,6.0,7.0,4.0,17.0,9.0,25.0,5.0,58.0,2.0,7.0
BR05884337000122,MFH Pesquisa E Consultoria Ltda,Take caution,Business Services,2023,2024,5.0,4.0,8.0,5.0,5.0,51.0,5.0,44.0,3.0,7.0
BR05884337000122,MFH Pesquisa E Consultoria Ltda,Take caution,Business Services,2024,2025,5.0,4.0,8.0,5.0,5.0,51.0,5.0,44.0,3.0,7.0
BR05939466000170,TAG Producoes Especiais Ltda.,Take caution,Business Services,2023,2024,4.0,2.0,8.0,5.0,1.0,28.0,5.0,67.0,3.0,8.0
BR05939466000170,TAG Producoes Especiais Ltda.,Take caution,Business Services,2024,2025,4.0,2.0,8.0,5.0,1.0,28.0,5.0,67.0,3.0,8.0
BR06250480000125,Paraeng Protecao Atmosferica Ltda,Take caution,Construction,2023,2024,5.0,6.0,5.0,30.0,6.0,35.0,5.0,35.0,2.0,8.0
BR06250480000125,Paraeng Protecao Atmosferica Ltda,Take caution,Construction,2024,2025,5.0,6.0,5.0,30.0,6.0,35.0,5.0,35.0,2.0,8.0
BR06256640000143,Fersi Confeccoes Brindes E Promocoes Ltda,Take caution,Textiles & Clothing Manufacturing,2023,2024,3.0,1.0,1.0,27.0,2.0,36.0,5.0,37.0,2.0,7.0
BR06256640000143,Fersi Confeccoes Brindes E Promocoes Ltda,Take caution,Textiles & Clothing Manufacturing,2024,2025,3.0,1.0,1.0,27.0,2.0,36.0,5.0,37.0,2.0,7.0
BR07077150000142,Tega Engenharia E Meio Ambiente Ltda,Do not source,"Industrial, Electric & Electronic Machinery",2023,2024,3.0,1.0,3.0,33.0,0.0,20.0,5.0,47.0,3.0,7.0
BR07077150000142,Tega Engenharia E Meio Ambiente Ltda,Do not source,"Industrial, Electric & Electronic Machinery",2024,2025,3.0,1.0,3.0,33.0,0.0,20.0,5.0,47.0,3.0,7.0
BR08285034000181,Weme Ltda,Take caution,Business Services,2023,2024,5.0,4.0,8.0,5.0,4.0,51.0,5.0,44.0,3.0,7.0
BR08285034000181,Weme Ltda,Take caution,Business Services,2024,2025,5.0,4.0,8.0,5.0,4.0,51.0,5.0,44.0,3.0,7.0
BR08613049000121,Apta Sistemas de Automacao Ltda,Take caution,"Industrial, Electric & Electronic Machinery",2023,2024,6.0,7.0,4.0,17.0,9.0,25.0,5.0,58.0,2.0,7.0
BR08613049000121,Apta Sistemas de Automacao Ltda,Take caution,"Industrial, Electric & Electronic Machinery",2024,2025,3.0,0.0,2.0,32.0,0.0,24.0,5.0,44.0,4.0,7.0
BR08715703000108,Mesquita & Miranda Servicos Mecanicos E Eletricos Ltda,Take caution,Business Services,2023,2024,4.0,2.0,8.0,5.0,0.0,28.0,5.0,67.0,3.0,8.0
BR08715703000108,Mesquita & Miranda Servicos Mecanicos E Eletricos Ltda,Take caution,Business Services,2024,2025,4.0,2.0,8.0,5.0,0.0,28.0,5.0,67.0,3.0,8.0
BR08821305000176,Valdemar Alves DA Silva,Take caution,Construction,2023,2024,5.0,6.0,4.0,17.0,5.0,25.0,5.0,58.0,2.0,7.0
BR08821305000176,Valdemar Alves DA Silva,Take caution,Construction,2024,2025,5.0,6.0,4.0,17.0,5.0,25.0,5.0,58.0,2.0,7.0
BR09110722000173,"Mandarin Design, Publicidade E Marketing Ltda",Take caution,Business Services,2023,2024,4.0,3.0,8.0,5.0,3.0,47.0,5.0,48.0,3.0,7.0
BR09110722000173,"Mandarin Design, Publicidade E Marketing Ltda",Take caution,Business Services,2024,2025,4.0,3.0,8.0,5.0,3.0,47.0,5.0,48.0,3.0,7.0
BR10209612000142,"Preve-Con Meio Ambiente, Saude E Seguranca Ltda",Take caution,Business Services,2023,2024,6.0,7.0,4.0,17.0,9.0,25.0,5.0,58.0,2.0,7.0
BR10209612000142,"Preve-Con Meio Ambiente, Saude E Seguranca Ltda",Take caution,Business Services,2024,2025,6.0,7.0,4.0,17.0,9.0,25.0,5.0,58.0,2.0,7.0
BR10666587000126,Imoc Solucoes EM Tecnologia Ltda,Take caution,Business Services,2023,2024,6.0,7.0,4.0,17.0,9.0,25.0,5.0,58.0,2.0,7.0
BR10666587000126,Imoc Solucoes EM Tecnologia Ltda,Take caution,Business Services,2024,2025,6.0,7.0,4.0,17.0,9.0,25.0,5.0,58.0,2.0,7.0
BR10693693000107,Cartondruck Grafica Ltda,Take caution,"Wood, Furniture & Paper Manufacturing",2023,2024,4.0,0.0,3.0,55.0,0.0,12.0,5.0,33.0,4.0,7.0
BR10693693000107,Cartondruck Grafica Ltda,Take caution,"Wood, Furniture & Paper Manufacturing",2024,2025,4.0,0.0,3.0,55.0,0.0,12.0,5.0,33.0,4.0,7.0
BR10754799000165,Provokers Market Analytics Ltda,Do not source,Computer Software,2023,2024,4.0,2.0,8.0,5.0,3.0,53.0,5.0,42.0,3.0,7.0
BR10754799000165,Provokers Market Analytics Ltda,Do not source,Computer Software,2024,2025,4.0,2.0,8.0,5.0,3.0,53.0,5.0,42.0,3.0,7.0
BR11040893000115,Performait Consultoria E Desenvolvimento de Softwares Ltda,Do not source,Computer Software,2023,2024,4.0,4.0,5.0,16.0,3.0,47.0,5.0,37.0,2.0,7.0
BR11040893000115,Performait Consultoria E Desenvolvimento de Softwares Ltda,Do not source,Computer Software,2024,2025,4.0,4.0,5.0,16.0,3.0,47.0,5.0,37.0,2.0,7.0
BR11171922000188,Gerresheimer Sistemas Plasticos Medicinais SAO Paulo Ltda.,Do not source,"Chemicals, Petroleum, Rubber & Plastic",2023,2024,3.0,1.0,2.0,33.0,0.0,20.0,5.0,47.0,3.0,7.0
BR11171922000188,Gerresheimer Sistemas Plasticos Medicinais SAO Paulo Ltda.,Do not source,"Chemicals, Petroleum, Rubber & Plastic",2024,2025,3.0,1.0,2.0,33.0,0.0,20.0,5.0,47.0,3.0,7.0
BR11321229000144,MCI Brasil Ltda.,Take caution,"Travel, Personal & Leisure",2024,2025,5.0,5.0,8.0,27.0,2.0,36.0,5.0,37.0,3.0,7.0
BR11807326000141,NEW Print Embalagens E Displays Ltda,Do not source,"Wood, Furniture & Paper Manufacturing",2023,2024,4.0,0.0,4.0,55.0,4.0,12.0,5.0,33.0,4.0,7.0
BR11807326000141,NEW Print Embalagens E Displays Ltda,Do not source,"Wood, Furniture & Paper Manufacturing",2024,2025,4.0,0.0,3.0,55.0,0.0,12.0,5.0,33.0,4.0,7.0
BR12651762000137,Livework Studio Ltda,Take caution,Business Services,2023,2024,5.0,7.0,7.0,5.0,5.0,51.0,5.0,44.0,3.0,6.0
BR12651762000137,Livework Studio Ltda,Take caution,Business Services,2024,2025,5.0,7.0,7.0,5.0,5.0,51.0,5.0,44.0,3.0,6.0
BR13430983000148,Imperium I.T Comercio E Servicos Ltda,Take caution,Retail,2023,2024,3.0,0.0,3.0,16.0,3.0,47.0,5.0,37.0,3.0,6.0
BR13430983000148,Imperium I.T Comercio E Servicos Ltda,Take caution,Retail,2024,2025,3.0,0.0,4.0,16.0,0.0,47.0,5.0,37.0,3.0,6.0
BR13585537000102,Ekologica Solucoes Construtivas Ltda,Take caution,Construction,2023,2024,5.0,5.0,5.0,30.0,5.0,35.0,5.0,35.0,2.0,8.0
BR13585537000102,Ekologica Solucoes Construtivas Ltda,Take caution,Construction,2024,2025,5.0,5.0,5.0,30.0,5.0,35.0,5.0,35.0,2.0,8.0
BR13757818000103,Ribeiro & Rodrigues Saude Ambiental Ltda,Take caution,Business Services,2023,2024,4.0,2.0,4.0,5.0,4.0,28.0,5.0,67.0,3.0,8.0
BR13757818000103,Ribeiro & Rodrigues Saude Ambiental Ltda,Take caution,Business Services,2024,2025,4.0,2.0,6.0,5.0,0.0,28.0,5.0,67.0,3.0,8.0
BR14004350000130,JM AR Condicionado Manutencao E Montagem Ltda,Take caution,Construction,2023,2024,4.0,2.0,8.0,5.0,0.0,28.0,5.0,67.0,3.0,8.0
BR14004350000130,JM AR Condicionado Manutencao E Montagem Ltda,Take caution,Construction,2024,2025,4.0,2.0,8.0,5.0,0.0,28.0,5.0,67.0,3.0,8.0
BR14277659000102,Tecnomatriz Industria Comercio E Servicos Ltda,Do not source,Metals & Metal Products,2023,2024,3.0,1.0,3.0,33.0,0.0,20.0,5.0,47.0,3.0,7.0
BR14277659000102,Tecnomatriz Industria Comercio E Servicos Ltda,Do not source,Metals & Metal Products,2024,2025,3.0,1.0,3.0,33.0,0.0,20.0,5.0,47.0,3.0,7.0
BR15201145000128,Nordika DO Brasil Consultoria Ltda.,Take caution,Business Services,2023,2024,6.0,7.0,4.0,17.0,9.0,25.0,5.0,58.0,2.0,7.0
BR15201145000128,Nordika DO Brasil Consultoria Ltda.,Take caution,Business Services,2024,2025,6.0,7.0,4.0,17.0,9.0,25.0,5.0,58.0,2.0,7.0
BR16404287000155,Suzano S.A.,Go ahead,"Wood, Furniture & Paper Manufacturing",2023,2024,4.0,3.0,4.0,55.0,4.0,12.0,5.0,33.0,3.0,7.0
BR16404287000155,Suzano S.A.,Go ahead,"Wood, Furniture & Paper Manufacturing",2024,2025,4.0,3.0,4.0,55.0,5.0,12.0,4.0,33.0,3.0,7.0
BR16575763000109,Connor Engenharia Limitada,Take caution,Construction,2023,2024,4.0,4.0,4.0,30.0,4.0,35.0,5.0,35.0,2.0,8.0
BR16575763000109,Connor Engenharia Limitada,Take caution,Construction,2024,2025,4.0,4.0,5.0,30.0,3.0,35.0,5.0,35.0,2.0,8.0
BR17213052000149,SAN Corpore Qualidade de Vida Ltda,Take caution,"Travel, Personal & Leisure",2023,2024,5.0,5.0,6.0,32.0,3.0,24.0,5.0,44.0,3.0,7.0
BR17213052000149,SAN Corpore Qualidade de Vida Ltda,Take caution,"Travel, Personal & Leisure",2024,2025,5.0,5.0,6.0,32.0,3.0,24.0,5.0,44.0,3.0,7.0
BR17469788000182,Central Distribuidora MOC Ltda,Do not source,Retail,2023,2024,6.0,8.0,5.0,40.0,9.0,25.0,5.0,35.0,3.0,7.0
BR17469788000182,Central Distribuidora MOC Ltda,Do not source,Retail,2024,2025,6.0,8.0,5.0,40.0,9.0,25.0,5.0,35.0,3.0,7.0
