composite_key,supplier_number_name,supplier_key,supplier_name,coupa_name,coupa_supplier_id,coupa_supplier_number,coupa_supplier_name,coupa_created_at,coupa_created_by,coupa_updated_at,coupa_updated_by,coupa_supplier_commodity,coupa_tax_id,coupa_primary_contact_email,coupa_primary_contact_phone_work,coupa_primary_pontact_phone_mobile,coupa_primary_contact_phone_fax,coupa_primary_contact_first_name,coupa_primary_contact_last_name,coupa_primary_address_street1,coupa_primary_address_street2,coupa_primary_address_city,coupa_primary_address_state,coupa_primary_address_postal_code,coupa_primary_address_country,coupa_vat_id,coupa_primary_address_tax_country,coupa_invoice_matching_level,coupa_po_method,coupa_po_change_method,coupa_po_email,coupa_supplier_payment_terms_code,coupa_supplier_payment_terms,coupa_supplier_shipping_terms_code,coupa_supplier_shipping_terms,coupa_vendor_account_group,coupa_supplier_owner,coupa_preferred_supplier,coupa_parent_company_supplier_number,coupa_content_groups,coupa_parent_company_id,coupa_parent_company_name,coupa_supplier_tag,moodys_bvd_id,moodys_company_name,moodys_status,moodys_closing_date_last_avail_year,moodys_nom_last_avail_year,moodys_financial_risk,moodys_last_closing_year
MOODYS_GB03424328-COUPA_52787,52787 - GP STRATEGIES LIMITED ,52787,GP STRATEGIES LIMITED ,52787,166541,52787,GP STRATEGIES LIMITED ,2019-12-11 09:56:29,FHQI,2026-02-25 12:11:17,sftp_integration@coupa.com,Other hard skills (technical) training,GB880981385,lcollier@gpstrategies.com,Moody's supplier,Moody's supplier,Moody's supplier,Laura,Collier,"BREDBURY BUSINESS PARK, UNIT 2",BREDBURY PARKWAY BREDBURY,STOCKPORT,Moody's supplier,SK6 2SN,GB,GB880981385,GB,3-way,email,email,Nnvm@gpstrategies.com,F060,F060 Invoice Date + 60 days,FOB,FOB Free on board,NNLE,MTIL,Preferred Supplier,Moody's supplier,0053 NNI US;0053 NNI US Purchasing;0084 Clayton US;0084 Clayton US Purchasing;0349 NN Slovakia SK;1000 Novo Nordisk A/S DK;1000 Novo Nordisk A/S DK Purchasing;0001 NN Switzerland CH;0003 NN Pharma GmbH DE;0004 NN South Africa ZA;0007 NN Norway NO;0009 NN Finland FI;0012 NN Pharma SA ES;0013 NN Austria AT;0014 NN B.V. NL;0018 NN Limited GB;0024 NN Ireland IE;0029 NN Greece GR;0030 NN Turkey TR;0032 NN Italy IT;0036 NN Canada CA;0038 NN Portugal PT;0039 NN Australia AU;0046 NN Philippines PH;0047 NN Thailand TH;0048 NN Korea KR;0049 NN Taiwan TW;0051 NN Pharmac. Services SPzo PL;0054 NN Indonesia ID;0057 NN Russia RU;0058 Aldaph SPA DZ;0059 NN France Sales FR;0073 NN Montes Claros MOC BR;0074 NN Pharmatech DK;0081 NN Egypt EG;0082 NN New Zealand NZ;0083 NN Brazil BR;0088 NN India IN;0091 NN Singapore SG;0094 NN Poland PL;0095 NN Czech Rep. CZ;0096 NN Hungary HU;0097 NN Israel IL;0098 NN Argentina AR;0303 NN Mexico MX;0322 NN Health Care CH;0334 NN Egypt Pharmaceuticals EG;0335 NN Romania RO;0338 NN Tunisie SARL TN;0340 NN Chile CL;0341 NN Colombia SAS CO;0343 NN Pharma S.A.S MA;0348 NN Slovenia SI;0354 NN Serbia and Montenegro RS;0357 NN Pakistan PK;0358 NN Bangladesh BD;0364 UAB Novo Nordisk Pharma LT;0366 NN Lebanon LB;0367 NovoNordisk Pharma LTD NG NG;0369 NN Oper (BAOS) MY;0396 NN Invest 4 A/S DK;0398 Bosnia BA;0401 NN Prod Sup LLC RU;0402 NN GSC India IN;0421 NN US Bio Prod. US;0437 NN Peru PE;0438 Novo Nordisk Denmark A/S DK;0439 NNRDUS Inc. US;0001 NN Switzerland CH Purchasing;0003 NN Pharma GmbH DE Purchasing;0007 NN Norway NO Purchasing;0012 NN Pharma SA ES Purchasing;0013 NN Austria AT Purchasing;0014 NN B.V. NL Purchasing;0018 NN Limited GB Purchasing;0024 NN Ireland IE Purchasing;0030 NN Turkey TR Purchasing;0032 NN Italy IT Purchasing;0036 NN Canada CA Purchasing;0038 NN Portugal PT Purchasing;0046 NN Philippines PH Purchasing;0047 NN Thailand TH Purchasing;0054 NN Indonesia ID Purchasing;0057 NN Russia RU Purchasing;0059 NN France Sales FR Purchasing;0073 NN Montes Claros MOC BR Purchasing;0083 NN Brazil BR Purchasing;0088 NN India IN Purchasing;0091 NN Singapore SG Purchasing;0094 NN Poland PL Purchasing;0098 NN Argentina AR Purchasing;0303 NN Mexico MX Purchasing;0322 NN Health Care CH Purchasing;0340 NN Chile CL Purchasing;0341 NN Colombia SAS CO Purchasing;0358 NN Bangladesh BD Purchasing;0401 NN Prod Sup LLC RU Purchasing;0402 NN GSC India IN Purchasing;0421 NN US Bio Prod. US Purchasing;0439 NNRDUS Inc. US Purchasing ;0417 NN Sri Lanka LK;0424 NN Research Ctr Indiana US;0428 NN Panama S.A. PA;0436 NN Kenya Ltd KE;0010 NN Pharma Belgium BE;0010 NN Pharma Belgium BE Purchasing;0482 NN Ukraine LLC UA;0018 Oxford Research Centre GB;0430 NNPO Iraq IQ;0452 NN Saudi Arabia LLC SA;0349 NN Slovakia SK Purchasing;0029 NN Greece GR Purchasing;0039 NN Australia AU Purchasing;0048 NN Korea KR Purchasing;0058 Aldaph SPA DZ Purchasing;0095 NN Czech Rep. CZ Purchasing;0096 NN Hungary HU Purchasing;0097 NN Israel IL Purchasing;0335 NN Romania RO Purchasing;0348 NN Slovenia SI Purchasing;0357 NN Pakistan PK Purchasing;0437 NN Peru PE Purchasing;0428 NN Panama S.A. PA Purchasing;0058 Aldaph SPA Blida DZ;0074 NN Pharmatech DK Purchasing;0082 NN New Zealand NZ Purchasing;0380 NN Haemophilia Foundation CH;0423 NN Tunisie TN;0446 NN Research Centre Oxford GB;0446 NN Research Centre Oxford GB Purchasing;0460 Novo Nordisk Vietnam VN;0497 NN Manufacturing US;0490 Catalent Indiana US;0496 NN Bulgaria BG;0496 NN Bulgaria BG Purchasing,Moody's supplier,Moody's supplier,Moody's supplier,GB03424328,General Physics (UK) Ltd.,Active,2024-12-31,12,Go ahead,2024
MOODYS_GB08774160-COUPA_53572,53572 - GBT TRAVEL SERVICES UK LIMITED ,53572,GBT TRAVEL SERVICES UK LIMITED ,53572,200867,53572,GBT TRAVEL SERVICES UK LIMITED ,2020-09-08 07:50:37,EMPM,2026-01-06 10:53:57,IMDN,Moody's supplier,GB413640679,KAREN.CIKARA@AMEXGBT.COM,Moody's supplier,Moody's supplier,Moody's supplier,Karen,Cikara,5 CHURCHILL PLACE,CANARY WHARF,LONDON,Moody's supplier,E14 5HU,GB,GB413640679,GB,3-way,email,email,CLAIRE.ECCLESTON@HRGWORLDWIDE.COM,F045,F045 Invoice Date + 45 days,DDP,DDP Delivered duty paid,NNLE,SDRY,Preferred Supplier,Moody's supplier,1000 Novo Nordisk A/S DK;1000 Novo Nordisk A/S DK Purchasing;0003 NN Pharma GmbH DE;0438 Novo Nordisk Denmark A/S DK;0003 NN Pharma GmbH DE Purchasing;0438 Novo Nordisk Denmark A/S DK Purchasing,Moody's supplier,Moody's supplier,Moody's supplier,GB08774160,GBT Travel Services UK Limited,Active,2024-12-31,12,Take caution,2024
MOODYS_DK67404912-COUPA_23027,23027 - PA CONSULTING GROUP A/S ,23027,PA CONSULTING GROUP A/S ,23027,8683,23027,PA CONSULTING GROUP A/S ,2019-06-13 16:55:26,sftp_integration@coupa.com,2025-12-29 09:41:05,sftp_integration@coupa.com,Moody's supplier,DK67404912,Andreas.Moller@paconsulting.com,Moody's supplier,Moody's supplier,Moody's supplier,Andreas,Moller,PORTLAND TOWERS,GÖTEBORG PLADS 1,NORDHAVN,Moody's supplier,2150,DK,DK67404912,DK,3-way,email,email,ANDREAS.MOLLER@PACONSULTING.COM,F060,F060 Invoice Date + 60 days,CPT,CPT Carriage paid,NNLE,MXUO,Preferred Supplier,Moody's supplier,0053 NNI US;0053 NNI US Purchasing;1000 Novo Nordisk A/S DK;1000 Novo Nordisk A/S DK Purchasing;0322 NN Health Care CH;0322 NN Health Care CH Purchasing;0465 NN Ireland Production IE;0465 NN Ireland Production IE Purchasing,Moody's supplier,Moody's supplier,other,DK67404912,PA Consulting Group A/S,Active,2024-12-31,12,Go ahead,2024
MOODYS_KR1101111953953-COUPA_1177204,1177204 - Dream CIS ,1177204,Dream CIS ,1177204,48126,1177204,Dream CIS ,2019-06-14 14:06:22,sftp_integration@coupa.com,2025-05-07 16:10:03,sftp_integration@coupa.com,Moody's supplier,1018157329,hye-reen.han@tigermedgrp.com,Moody's supplier,Moody's supplier,Moody's supplier,Hye-reen,Han,Moody's supplier,"Jongro-gu, Jeokseon-dong 80",SEOUL,Moody's supplier,Moody's supplier,KR,1018157329,KR,3-way,email,email,hye-reen.han@tigermedgrp.com,F060,F060 Invoice Date + 60 days,Moody's supplier,Moody's supplier,NNAF,Moody's supplier,Moody's supplier,Moody's supplier,0048 NN Korea KR;0048 NN Korea KR Purchasing,Moody's supplier,Moody's supplier,Moody's supplier,KR1101111953953,Dream CIS Inc.,Active,2024-12-31,12,Do not source,2024
MOODYS_GB01975338-COUPA_34851,34851 - ADELPHI GROUP LTD ,34851,ADELPHI GROUP LTD ,34851,10753,34851,ADELPHI GROUP LTD ,2019-06-14 09:31:10,sftp_integration@coupa.com,2026-01-06 10:55:50,IMDN,Moody's supplier,GB611599633,victoriahughes@adelphigroup.com,Moody's supplier,Moody's supplier,Moody's supplier,Victoria,Hughes,ADELPHI MILL,ADELPHI MILL,CHESHIRE,CH,SK10 5JB,GB,GB611599633,GB,3-way,email,email,ACCOUNTS@ADELPHIGROUP.COM,F060,F060 Invoice Date + 60 days,DDP,DDP Delivered duty paid,NNLE,MLQA,Preferred Supplier,Moody's supplier,1000 Novo Nordisk A/S DK;1000 Novo Nordisk A/S DK Purchasing;0018 NN Limited GB;0030 NN Turkey TR;0032 NN Italy IT;0036 NN Canada CA;0048 NN Korea KR;0322 NN Health Care CH;0438 Novo Nordisk Denmark A/S DK;0018 NN Limited GB Purchasing;0030 NN Turkey TR Purchasing;0032 NN Italy IT Purchasing;0036 NN Canada CA Purchasing;0322 NN Health Care CH Purchasing;0018 Oxford Research Centre GB;0048 NN Korea KR Purchasing;0438 Novo Nordisk Denmark A/S DK Purchasing,Moody's supplier,Moody's supplier,Moody's supplier,GB01975338,Adelphi Group Limited,Active,2023-12-31,12,Take caution,2023
MOODYS_PL140045540-COUPA_157190,157190 - STERIPACK MEDICAL POLAND SP. Z O.O ,157190,STERIPACK MEDICAL POLAND SP. Z O.O ,157190,302734,157190,STERIPACK MEDICAL POLAND SP. Z O.O ,2022-12-12 12:40:38,MMFO,2025-12-29 09:41:17,sftp_integration@coupa.com,Sterilization,PL5272461893,R.Czuchajewski@steripackgroup.com,Moody's supplier,Moody's supplier,Moody's supplier,Rafal,Czuchajewski,LEG UL. JAPONSKA 1,Moody's supplier,JELCZ-LASKOWICE,Moody's supplier,55-220,PL,PL5272461893,PL,3-way,email,email,customerdocuments@steripackgroup.com,F060,F060 Invoice Date + 60 days,EXW,EXW Ex works,NNLE,BLHN,Preferred Supplier,Moody's supplier,1000 Novo Nordisk A/S DK;1000 Novo Nordisk A/S DK Purchasing,Moody's supplier,Moody's supplier,SSIMS,PL140045540,Steripack Medical Poland Sp. z o.o.,Active,2024-09-30,12,Take caution,2024
MOODYS_MY1304248-X-COUPA_1347767,1347767 - WHITE SHARK EVENT SDN BHD ,1347767,WHITE SHARK EVENT SDN BHD ,1347767,211854,1347767,WHITE SHARK EVENT SDN BHD ,2020-12-23 05:24:27,GCLE,2025-12-18 08:07:55,sftp_integration@coupa.com,General Meeting Management,1304248-X,desmond@whitesharkevent.com,Moody's supplier,Moody's supplier,Moody's supplier,Desmond,Desmond,"12, JALAN SL 15 3",Moody's supplier,KAJANG,Moody's supplier,43200,MY,1304248-X,MY,3-way,email,email,desmond@whitesharkevent.com,F045,F045 Invoice Date + 45 days,Moody's supplier,Moody's supplier,NNAF,Moody's supplier,Preferred Supplier,Moody's supplier,0091 NN Singapore SG;0101 NN Malaysia MY;0355 NN Pharma Gulf AE;0369 NN Oper (BAOS) MY;0091 NN Singapore SG Purchasing;0101 NN Malaysia MY Purchasing;0369 NN Oper (BAOS) MY Purchasing;0355 NN Pharma Gulf AE Purchasing,Moody's supplier,Moody's supplier,Moody's supplier,MY1304248-X,White Shark Event Sdn. Bhd.,Active,2021-03-31,12,Do not source,2021
MOODYS_GB01983857-COUPA_156427,156427 - VCCP HEALTH LIMITED ,156427,VCCP HEALTH LIMITED ,156427,280227,156427,VCCP HEALTH LIMITED ,2022-07-20 15:12:40,NAVZ,2024-10-07 16:33:34,sftp_integration@coupa.com,Graphics/Production,GB238822251,beverleyn@vccp.com,Moody's supplier,Moody's supplier,Moody's supplier,Beverley,Newbury,PO BOX 70693 10A GREENCOAT PLACE,Moody's supplier,LONDON,Moody's supplier,SW1P 9ZP,GB,GB238822251,GB,3-way,email,email,salesledger@vccp.com,F060,F060 Invoice Date + 60 days,DDP,DDP Delivered duty paid,NNLE,LSVD,Preferred Supplier,Moody's supplier,1000 Novo Nordisk A/S DK;1000 Novo Nordisk A/S DK Purchasing;0018 NN Limited GB;0322 NN Health Care CH;0018 NN Limited GB Purchasing;0322 NN Health Care CH Purchasing;0018 Oxford Research Centre GB,Moody's supplier,Moody's supplier,Moody's supplier,GB01983857,Chime Communications Limited,Active,2024-12-31,12,Go ahead,2024
MOODYS_DK40664904-COUPA_53359,53359 - SIEMENS ENERGY A/S ,53359,SIEMENS ENERGY A/S ,53359,194570,53359,SIEMENS ENERGY A/S ,2020-06-24 10:02:07,AEEP,2026-01-06 10:57:24,IMDN,Electricity,DK40664904,stig.bisgaard@siemens.com,Moody's supplier,Moody's supplier,Moody's supplier,Stig,Bisgaard,BORUPVANG 9,Moody's supplier, BALLERUP,Moody's supplier,2750,DK,DK40664904,DK,3-way,email,email,STINE.OLSEN@SIEMENS-ENERGY.COM,F030,F030 Invoice Date + 30 days,Moody's supplier,Moody's supplier,NNLE,JWAA,Preferred Supplier,Moody's supplier,1000 Novo Nordisk A/S DK;1000 Novo Nordisk A/S DK Purchasing,Moody's supplier,Moody's supplier,am,DK40664904,Siemens Energy A/S,Active,2025-09-30,12,Go ahead,2025
MOODYS_GB12873417-COUPA_1405321,1405321 - INTENT HEALTH LIMITED ,1405321,INTENT HEALTH LIMITED ,1405321,354847,1405321,INTENT HEALTH LIMITED ,2024-03-20 14:30:32,TCOR,2026-02-26 15:55:08,Moodys.Connector,Government Affairs,GB357847058,jane@intenthealth.co.uk,Moody's supplier,Moody's supplier,Moody's supplier,Jane,Brearley,PR AGENCY,Moody's supplier,LONDON,Moody's supplier,EC2A 4NE,GB,GB357847058,GB,3-way,email,email,ACCOUNTS@INTENTHEALTH.CO.UK,F030,F030 Invoice Date + 30 days,DDP,DDP Delivered duty paid,NNAF,Moody's supplier,Moody's supplier,Moody's supplier,1000 Novo Nordisk A/S DK;1000 Novo Nordisk A/S DK Purchasing;0018 NN Limited GB;0036 NN Canada CA;0322 NN Health Care CH;0018 NN Limited GB Purchasing;0036 NN Canada CA Purchasing;0322 NN Health Care CH Purchasing;0018 Oxford Research Centre GB,Moody's supplier,Moody's supplier,Moody's supplier,GB12873417,Intent Health Limited,Active,2024-12-31,12,Do not source,2024
MOODYS_DE2151755652-COUPA_162430,162430 - RESOURCIFY GMBH ,162430,RESOURCIFY GMBH ,162430,434546,162430,RESOURCIFY GMBH ,2025-02-10 10:10:05,NKDI,2025-03-17 08:08:00,sftp_integration@coupa.com,Waste Management,DE301233829,felix.heinricy@resourcify.de,Moody's supplier,Moody's supplier,Moody's supplier,Felix,Heinricy,SCHOPENSTEHL 13,Moody's supplier,HAMBURG,Moody's supplier,20095,DE,DE301233829,DE,3-way,email,email,finance@resourcify.de,F060,F060 Invoice Date + 60 days,DDP,DDP Delivered duty paid,NNLE,Moody's supplier,Moody's supplier,Moody's supplier,0005 Chartres FR;0005 Chartres FR Purchasing;1000 Novo Nordisk A/S DK;1000 Novo Nordisk A/S DK Purchasing,Moody's supplier,Moody's supplier,Moody's supplier,DE2151755652,Resourcify GmbH,Active,2023-12-31,12,Do not source,2023
